,Returns,Volatility,AFC.L Weight,CWR.L Weight,GOOD.L Weight,GRP.L Weight,ITM.L Weight
3945,0.034967400085341896,0.1827862440625782,0.3094328160117631,0.15974207662559553,0.04987308155666906,0.30404563924402866,0.1769063865619436
3946,0.028218682990722214,0.13250499261928292,0.13852592910468822,0.3596070415396895,0.09160771886971877,0.27879398131700955,0.131465329168894
3947,0.033046297613537945,0.1645813631935445,0.19299329981431798,0.061482824586172886,0.143416991231047,0.21197536098793077,0.3901315233805314
3948,0.03361684353888771,0.16642862079171308,0.2034495638513296,0.19181052852584993,0.21295982565257657,0.10452156378539045,0.28725851818485343
3949,0.02456986939428625,0.12113081414066645,0.013528561007964617,0.3796104116634822,0.04319026435562634,0.32635734680055734,0.23731341617236937
3950,0.023826580613249868,0.10842764511943825,0.1346685757273635,0.27036853728031357,0.09175858497736761,0.435708031092434,0.06749627092252135
3951,0.023450280234616594,0.1283569071055232,0.026134431349493534,0.12471638889262984,0.5248601604978356,0.013155966403450205,0.311133052856591
3952,0.031124494753663755,0.1533127778029186,0.2287867628451144,0.4443304324274077,0.015409570932676982,0.3074356104405134,0.004037623354287442
3953,0.03819678514821318,0.20545470632808036,0.3320041895143435,0.024281220971270175,0.08997293707373402,0.22524840613426472,0.32849324630638754
3954,0.031054983412088233,0.15871814925485486,0.27483283376953943,0.2608251422960472,0.09489987416026983,0.3277705139146072,0.04167163585953633
3955,0.027620798367434998,0.13407644266460758,0.1369575332862832,0.2526716014190768,0.3025395454553985,0.13783497433735453,0.16999634550188703
3956,0.0348968328178594,0.18441190308679872,0.3088730440144773,0.3100407733537142,0.2399538039033044,0.09428979012634169,0.046842588602162484
3957,0.03855357601439771,0.1989016878611679,0.24015383271514215,0.06834449460815015,0.22754378487436203,0.00411084857812481,0.45984703922422093
3958,0.03821449817455648,0.19856795519368572,0.3091292104989054,0.24461852752807103,0.15317814109919622,0.08799114699116306,0.2050829738826645
3959,0.040160935265745795,0.20897733761383327,0.29102473742079316,0.11113047422661378,0.0904110516824012,0.10652608104655165,0.40090765562364017
3960,0.028371636556106698,0.1433904466990379,0.09378641558866743,0.0640868665918672,0.3839124990387888,0.059603018184582475,0.3986112005960941
3961,0.03281020287410399,0.16367529996863034,0.20505801012295266,0.28304864103663435,0.28833807226127994,0.037964435639431846,0.18559084093970102
3962,0.0377156142962081,0.2086642391705758,0.36707642249084543,0.10228958068791018,0.27172329729290934,0.0849614630659398,0.17394923646239527
3963,0.02738670966483784,0.1357238922513595,0.2298587059725083,0.20301510382926694,0.1266682161321768,0.3917568787884633,0.04870109527758451
3964,0.02875943380021997,0.15059049932538748,0.23686235404638634,0.02237108486871854,0.3560850843884647,0.20128555288675223,0.18339592380967817
3965,0.024373767313689867,0.1248803977862339,0.09490308322732054,0.17775572665752523,0.4678404158536642,0.07700968145768752,0.1824910928038024
3966,0.02739896646193231,0.1396343959658317,0.23596671769824318,0.014927995184255877,0.15111381316882588,0.4272163684033444,0.17077510554533062
3967,0.03180953071238027,0.15571160060907768,0.12303735018638844,0.3946198208541313,0.20990206316208754,0.040312801970832285,0.23212796382656042
3968,0.04021310888546678,0.2147397222542561,0.34702215715060186,0.12887469356117076,0.050054424164432884,0.1817750635563575,0.29227366156743695
3969,0.025405451584722145,0.12510026113261927,0.12359114332052423,0.1525756896744246,0.3789220523350189,0.1550301096511755,0.1898810050188567
3970,0.022639645795138667,0.11082013622521444,0.03713373064726025,0.277121556678189,0.2582591519931724,0.24210343941007248,0.18538212127130585
3971,0.032372186889441316,0.16084435211187875,0.07468071253912084,0.4258430405565251,0.12447418483784439,0.05079987536231451,0.32420218670419493
3972,0.030980242245950522,0.15357784086479936,0.2027087577755315,0.16239480914861526,0.26582644765262675,0.14620986468904604,0.2228601207341805
3973,0.028208293449983664,0.13997484628125567,0.0701124294043291,0.2829560352627277,0.29839795177159395,0.06023121332913906,0.2883023702322103
3974,0.03469113045466396,0.18577030290197782,0.3241077249369428,0.07863932014841811,0.1124654543132939,0.2914708687971551,0.19331663180419015
3975,0.03314342260738609,0.16530174888091048,0.1957142370767483,0.284520727517168,0.30096879636810336,0.008383880846307139,0.21041235819167328
3976,0.03951761875656262,0.22375259223530433,0.41281032923850003,0.250837030679108,0.26626143462418456,0.03022835782478015,0.039862847633427276
3977,0.02947454969032443,0.1421240425675644,0.16983356234963307,0.17649214900913826,0.2080033379912059,0.21324792089963257,0.2324230297503902
3978,0.025320840928580477,0.11663019445595098,0.11916955353993887,0.36600964973172534,0.06279306877988981,0.37606507323167887,0.07596265471676727
3979,0.02772628352722662,0.13418560882951347,0.1108658349593841,0.13143370913887129,0.27303486985912195,0.17344141943841201,0.3112241666042107
3980,0.02610530330990074,0.12484241286902169,0.14043332426141647,0.17920791181117313,0.273645168212729,0.23365286878204145,0.17306072693263994
3981,0.034388697221723594,0.18135401395413603,0.284201731733399,0.06899048833007779,0.29832562837098336,0.10515096550954084,0.24333118605599904
3982,0.02695870981480648,0.13455048907646983,0.0762055600175361,0.25431363681399455,0.35901745780160677,0.05768027642560573,0.2527830689412568
3983,0.033095855153408876,0.16075181786010342,0.1309796399114054,0.2415455270184774,0.04471854507651367,0.19726414854224536,0.38549213945135824
3984,0.02962107417239827,0.14043872803673127,0.14985379797610074,0.2782856681063364,0.1299779559747092,0.23344062891911077,0.20844194902374283
